acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,decade
0.303,0.394,0.394,0.0034,0.134,0.7511,0.04,0.5323,0.173,1980
0.0079,0.641,0.864,0.0432,0.359,0.8217,0.0343,0.5477,0.723,1980
0.661,0.446,0.418,0.0,0.081,0.801,0.0286,0.5942,0.233,1980
0.0619,0.453,0.756,0.542,0.303,0.7344,0.0355,0.435,0.492,1980
0.0058,0.16,0.754,0.29,0.266,0.8079,0.0382,0.6949,0.301,1980
0.798,0.397,0.426,0.0,0.19,0.7645,0.0608,0.6408,0.48,1980
0.192,0.914,0.766,0.65,0.0747,0.851,0.0387,0.5188,0.9,1980
0.0495,0.773,0.577,0.0154,0.0543,0.7527,0.0419,0.5243,0.941,1980
0.0273,0.571,0.801,0.0161,0.321,0.8093,0.034,0.5918,0.888,1980
0.832,0.588,0.265,0.135,0.0966,0.6982,0.0349,0.3947,0.419,1980
0.0127,0.282,0.973,0.0316,0.065,0.8133,0.111,0.7208,0.239,1980
0.144,0.733,0.716,0.033,0.0688,0.7106,0.0432,0.4079,0.879,1980
0.0225,0.514,0.71,0.0,0.227,0.7678,0.133,0.5228,0.812,1980
0.007,0.556,0.384,0.0009,0.0545,0.705,0.0407,0.5196,0.891,1980
0.989,0.134,0.0931,0.907,0.115,0.5205,0.0398,0.3315,0.0359,1980
0.105,0.57,0.431,0.0116,0.124,0.7189,0.0356,0.4041,0.333,1980
0.889,0.625,0.204,0.0,0.115,0.6948,0.169,0.5214,0.471,1980
0.429,0.58,0.229,0.0,0.11,0.6764,0.0299,0.5417,0.233,1980
0.0655,0.598,0.945,0.879,0.454,0.7984,0.0579,0.4311,0.82,1980
0.0001,0.595,0.842,0.784,0.354,0.7817,0.0312,0.535,0.645,1980
0.086,0.593,0.516,0.0026,0.0776,0.7547,0.0348,0.6363,0.576,1980
0.565,0.628,0.263,0.0012,0.34,0.6887,0.0298,0.3177,0.402,1980
0.315,0.662,0.889,0.0161,0.331,0.7756,0.0857,0.415,0.547,1980
0.509,0.653,0.703,0.0709,0.117,0.7917,0.0298,0.445,0.579,1980
0.0826,0.662,0.537,0.0016,0.0843,0.792,0.0632,0.5431,0.777,1980
0.881,0.453,0.0082,0.845,0.0753,0.6566,0.0656,0.7105,0.154,1980
0.159,0.709,0.654,0.0,0.101,0.8472,0.0272,0.4464,0.829,1980
0.31,0.684,0.514,0.0462,0.0533,0.7435,0.0348,0.4696,0.961,1980
0.747,0.684,0.653,0.0,0.178,0.8404,0.0573,0.4121,0.968,1980
0.664,0.339,0.495,0.0004,0.0776,0.8094,0.0329,0.5882,0.268,1980
0.698,0.681,0.202,0.0,0.208,0.735,0.0742,0.497,0.966,1980
0.76,0.542,0.374,0.0,0.452,0.7333,0.0287,0.4154,0.394,1980
0.295,0.251,0.515,0.0001,0.302,0.7951,0.0273,0.3718,0.409,1980
0.0449,0.837,0.65,0.0001,0.204,0.8035,0.0775,0.4988,0.817,1980
0.0156,0.688,0.72,0.0001,0.0562,0.837,0.0471,0.5213,0.905,1980
0.0093,0.564,0.961,0.0343,0.146,0.8714,0.0644,0.6084,0.865,1980
0.855,0.33,0.0442,0.0009,0.11,0.591,0.0317,0.3353,0.089,1980
0.505,0.624,0.505,0.0009,0.244,0.7463,0.0427,0.3546,0.868,1980
0.0872,0.672,0.887,0.0,0.0716,0.8524,0.04,0.493,0.73,1980
0.0018,0.435,0.888,0.0001,0.198,0.8236,0.085,0.6222,0.579,1980
0.21,0.781,0.58,0.0036,0.11,0.7565,0.0663,0.5427,0.85,1980
0.328,0.564,0.375,0.0,0.153,0.763,0.0315,0.5598,0.358,1980
0.0003,0.29,0.977,0.0,0.307,0.8773,0.165,0.4683,0.318,1980
0.274,0.69,0.926,0.0006,0.99,0.8688,0.0865,0.489,0.657,1980
0.2,0.505,0.646,0.0,0.252,0.7037,0.0363,0.829,0.462,1980
0.167,0.65,0.755,0.0005,0.227,0.7856,0.0362,0.6037,0.919,1980
0.0759,0.745,0.542,0.0032,0.117,0.7794,0.0552,0.6203,0.81,1980
0.132,0.711,0.909,0.026,0.36,0.8086,0.0576,0.5153,0.867,1980
